chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",6.7,6.7,6.7,6.7,20100.0
"Aug 04, 2009 00:00:00",7.4,8.0,7.4,8.0,45000.0
"Aug 10, 2009 00:00:00",8.0,8.0,8.0,8.0,256000.0
"Aug 26, 2009 00:00:00",8.0,8.0,8.0,8.0,80000.0
"Sep 03, 2009 00:00:00",9.0,9.5,9.0,9.5,108500.0
"Sep 04, 2009 00:00:00",9.5,9.5,9.5,9.5,9500.0
"Sep 16, 2009 00:00:00",9.3,9.3,9.3,9.3,18600.0
"Oct 02, 2009 00:00:00",8.5,8.5,8.5,8.5,153000.0
"Oct 09, 2009 00:00:00",9.0,9.0,9.0,9.0,72000.0
"Oct 12, 2009 00:00:00",9.0,9.0,9.0,9.0,18000.0
"Oct 19, 2009 00:00:00",8.5,8.5,8.5,8.5,8500.0
"Oct 20, 2009 00:00:00",8.5,8.5,8.5,8.5,85000.0
"Oct 26, 2009 00:00:00",8.5,8.5,8.5,8.5,34000.0
"Oct 30, 2009 00:00:00",8.5,8.5,8.5,8.5,34000.0
"Dec 15, 2009 00:00:00",9.0,9.0,9.0,9.0,9000.0
"Dec 17, 2009 00:00:00",8.5,8.5,8.5,8.5,42500.0
"Dec 21, 2009 00:00:00",8.1,8.1,8.1,8.1,32400.0
"Dec 22, 2009 00:00:00",8.6,8.6,8.6,8.6,43000.0
"Jan 07, 2010 00:00:00",8.9,8.9,8.9,8.9,44500.0
"Jan 12, 2010 00:00:00",8.9,8.9,8.9,8.9,8900.0
"Jan 15, 2010 00:00:00",9.0,9.0,8.9,8.9,35700.0
"Jan 21, 2010 00:00:00",8.5,8.5,8.5,8.5,42500.0
"Jan 29, 2010 00:00:00",8.8,8.8,8.8,8.8,8800.0
"Feb 01, 2010 00:00:00",8.7,8.7,8.1,8.1,24900.0
"Feb 02, 2010 00:00:00",8.7,8.7,8.7,8.7,87000.0
"Feb 03, 2010 00:00:00",8.6,8.6,8.6,8.6,8600.0
"Feb 04, 2010 00:00:00",8.6,8.6,8.6,8.6,17200.0
"Feb 05, 2010 00:00:00",8.0,8.4,8.0,8.4,72400.0
"Feb 08, 2010 00:00:00",8.4,8.4,8.4,8.4,16800.0
"Feb 09, 2010 00:00:00",8.4,8.4,8.4,8.4,117600.0
"Feb 10, 2010 00:00:00",8.6,8.8,8.6,8.8,17400.0
"Mar 08, 2010 00:00:00",8.5,8.5,8.5,8.5,42500.0
"Apr 20, 2010 00:00:00",9.5,9.5,9.5,9.5,9500.0
"Apr 22, 2010 00:00:00",8.5,8.5,8.5,8.5,25500.0
"Apr 23, 2010 00:00:00",9.0,9.0,9.0,9.0,18000.0
"May 05, 2010 00:00:00",9.0,9.0,9.0,9.0,9000.0
"May 13, 2010 00:00:00",8.6,9.0,8.6,9.0,17600.0
