chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.055,0.0575,0.055,0.0575,108500.0
"Aug 04, 2009 00:00:00",0.0575,0.06,0.055,0.055,97750.0
"Aug 06, 2009 00:00:00",0.0575,0.06,0.055,0.055,315750.0
"Aug 07, 2009 00:00:00",0.0575,0.0575,0.0575,0.0575,207000.0
"Aug 10, 2009 00:00:00",0.0575,0.0575,0.055,0.055,225750.0
"Aug 11, 2009 00:00:00",0.055,0.055,0.055,0.055,269500.0
"Aug 12, 2009 00:00:00",0.055,0.06,0.055,0.06,1990250.0
"Aug 13, 2009 00:00:00",0.0625,0.07,0.06,0.065,8538250.0
"Aug 14, 2009 00:00:00",0.0675,0.0675,0.0625,0.0625,1565500.0
"Aug 17, 2009 00:00:00",0.06,0.06,0.06,0.06,960000.0
"Aug 18, 2009 00:00:00",0.0575,0.06,0.0575,0.06,731750.0
"Aug 19, 2009 00:00:00",0.0625,0.0625,0.06,0.06,462250.0
"Aug 20, 2009 00:00:00",0.06,0.06,0.06,0.06,258000.0
"Aug 24, 2009 00:00:00",0.06,0.06,0.06,0.06,60000.0
"Aug 25, 2009 00:00:00",0.0625,0.0625,0.06,0.06,455000.0
"Aug 26, 2009 00:00:00",0.06,0.06,0.06,0.06,120000.0
"Sep 03, 2009 00:00:00",0.06,0.06,0.0575,0.0575,1156000.0
"Sep 04, 2009 00:00:00",0.06,0.06,0.0575,0.0575,23500.0
"Sep 16, 2009 00:00:00",0.06,0.0625,0.06,0.0625,68500.0
"Sep 17, 2009 00:00:00",0.06,0.06,0.06,0.06,54000.0
"Sep 18, 2009 00:00:00",0.06,0.06,0.06,0.06,6000.0
"Sep 23, 2009 00:00:00",0.06,0.0625,0.06,0.0625,1094000.0
"Sep 30, 2009 00:00:00",0.06,0.06,0.06,0.06,168000.0
"Oct 01, 2009 00:00:00",0.06,0.06,0.0575,0.0575,63500.0
"Oct 05, 2009 00:00:00",0.06,0.06,0.06,0.06,12000.0
"Oct 06, 2009 00:00:00",0.06,0.06,0.06,0.06,132000.0
"Oct 07, 2009 00:00:00",0.06,0.06,0.06,0.06,162000.0
"Oct 08, 2009 00:00:00",0.06,0.0625,0.06,0.06,264250.0
"Oct 09, 2009 00:00:00",0.06,0.06,0.06,0.06,18000.0
"Oct 12, 2009 00:00:00",0.06,0.06,0.06,0.06,84000.0
"Oct 13, 2009 00:00:00",0.06,0.06,0.06,0.06,192000.0
"Oct 14, 2009 00:00:00",0.0575,0.0575,0.0575,0.0575,299000.0
"Oct 15, 2009 00:00:00",0.06,0.06,0.0575,0.0575,438750.0
"Oct 16, 2009 00:00:00",0.06,0.065,0.06,0.0625,1288250.0
"Oct 20, 2009 00:00:00",0.06,0.06,0.06,0.06,12000.0
